P1_lpo_loRa,P1_ratio_loRa,P1_conc_loRa,P2_lpo_loRa,P2_ratio_loRa,P2_conc_loRa,Temperature_loRa,Pressure_loRa,Humidity_loRa,pm1Palas,pm2_5Palas,pm4Palas,pm10Palas,pmTotalPalas,dCnPalas
55859,0.37,193.79,279940,1.87,964.99,18.51,98870,76,7.43333333333333,9.10666666666667,11.21,13.2966666666667,14.99,190.286666666667
211744,1.41,730.19,494787,3.3,1714.01,18.53,98869,76,7.43,9.1,11.21,13.29,14.9833333333333,190.253333333333
65073,0.43,225.58,418451,2.79,1445.56,18.52,98875,77,7.43,9.1,11.2,13.28,14.9666666666667,190.226666666667
5588,0.04,19.99,199116,1.33,686.77,18.54,98876,76,7.43,9.09666666666667,11.1966666666667,13.2666666666667,14.9533333333333,190.173333333333
0,0.0,0.62,75677,0.5,262.14,18.58,98877,76,7.43,9.09,11.19,13.2533333333333,14.9366666666667,190.106666666667
0,0.0,0.62,42432,0.28,147.44,18.58,98882,76,7.43,9.09,11.1933333333333,13.2633333333333,14.9433333333333,190.063333333333
125525,0.84,433.76,174682,1.16,602.77,18.56,98879,76,7.43,9.09,11.19,13.2566666666667,14.9366666666667,190.036666666667
0,0.0,0.62,87284,0.58,302.13,18.52,98884,76,7.42,9.08666666666667,11.1833333333333,13.2433333333333,14.92,190.0
0,0.0,0.62,328911,2.19,1134.17,18.47,98889,77,7.42,9.08333333333333,11.18,13.2466666666667,14.9266666666667,190.01
0,0.0,0.62,109682,0.73,379.25,18.4,98886,77,7.42,9.09,11.18,13.2966666666667,15.0366666666667,190.02
0,0.0,0.62,200489,1.34,691.49,18.37,98886,77,7.42,9.09,11.1766666666667,13.35,15.16,190.02
0,0.0,0.62,102734,0.68,355.34,18.34,98885,77,7.42,9.09,11.18,13.35,15.1566666666667,190.023333333333
109623,0.73,379.05,506329,3.38,1754.9,18.3,98888,78,7.42,9.09,11.1733333333333,13.34,15.1433333333333,190.053333333333
0,0.0,0.62,103703,0.69,358.67,18.27,98890,78,7.42,9.09,11.17,13.3266666666667,15.1233333333333,190.11
0,0.0,0.62,83141,0.55,287.86,18.23,98892,78,7.42666666666667,9.09,11.17,13.32,15.1133333333333,190.13
0,0.0,0.62,103344,0.69,357.44,18.18,98888,79,7.43,9.09,11.1633333333333,13.31,15.1,190.156666666667
0,0.0,0.62,77856,0.52,269.65,18.21,98890,79,7.43,9.09,11.16,13.3033333333333,15.09,190.186666666667
0,0.0,0.62,41123,0.27,142.92,18.19,98889,79,7.43,9.09,11.17,13.3033333333333,15.0866666666667,190.173333333333
48299,0.32,167.7,549792,3.67,1909.68,18.17,98888,79,7.43,9.09,11.17,13.3066666666667,15.0866666666667,190.173333333333
0,0.0,0.62,2571,0.02,9.53,18.14,98887,79,7.43,9.09,11.1766666666667,13.31,15.0866666666667,190.183333333333
0,0.0,0.62,136590,0.91,471.81,18.12,98889,79,7.43,9.09,11.18,13.3033333333333,15.08,190.18
57480,0.38,199.39,224109,1.49,772.72,18.12,98886,79,7.43,9.09666666666667,11.1966666666667,13.3366666666667,15.1233333333333,190.166666666667
0,0.0,0.62,194689,1.3,671.55,18.11,98885,79,7.43,9.1,11.1933333333333,13.3633333333333,15.1633333333333,190.146666666667
26428,0.18,92.13,189594,1.26,654.03,18.1,98894,79,7.43,9.1,11.2,13.3666666666667,15.1633333333333,190.13
0,0.0,0.62,164239,1.09,566.87,18.09,98892,80,7.43,9.09666666666667,11.19,13.3566666666667,15.1466666666667,190.13
